CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Pollutant_Level
3.4,-200.0,-200,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,-200.0,Normal
1.2,963.75,68,3.66346488088325,691.75,88.0,1176.0,82.0,1292.25,572.75,10.575000047684,57.72500038147,0.736216756598437,Mid
1.2,904.75,-200,2.94016434536352,648.25,187.8,1006.5,131.9,821.5,509.0,6.7750000953674,41.049999237061,0.407221914582392,High
2.9,1084.25,-200,16.6609826948668,1199.75,185.0,685.75,159.0,1753.0,1505.0,27.75,26.575000286102,0.974828201605351,High
0.3,779.25,-200,0.24068755507083,401.75,33.8,1665.25,31.1,684.25,257.0,2.75,52.64999961853,0.397238506755929,Normal
4.6,1583.25,-200,26.1011377805735,1456.75,1064.9,431.25,242.5,1639.75,1994.0,5.0499999523163,75.500001907349,0.666721076587662,High
2.0,1138.25,-200,7.80839401912836,891.25,212.0,721.0,110.0,1294.5,918.0,13.400000333786,66.550001144409,1.01868087893522,High
1.6,1028.75,-200,8.33844438967476,913.0,-200.0,787.25,-200.0,1373.0,606.5,38.27499961853,19.250000476837,1.27359081466174,Normal
1.1,1061.75,-200,3.99592429292043,710.5,55.0,1135.75,66.0,1460.75,700.0,14.900000095367,60.550000190735,1.01964936914251,Mid
3.4,1235.5,-200,16.752370054666,1202.5,499.0,681.25,114.0,1565.5,1310.75,12.549999952316,65.799999237061,0.953753746420537,High
2.8,1225.75,-200,15.62943352332,1168.25,265.0,650.0,158.0,1952.0,1310.5,33.625,28.675000190735,1.46928136830779,High
-200.0,1423.75,-200,19.8598339441622,1292.5,-200.0,524.0,-200.0,1901.5,1550.0,22.849999904633,58.050000190735,1.59510569414111,Normal
4.1,1428.0,-200,27.8744701171642,1500.25,358.0,496.25,141.0,2275.25,2020.75,26.949999809265,34.375,1.20363001730629,High
